,Name,state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,clusters
10,Snow Summit,California,8200,1200,7000,0.0,0.0,0.0,2,0,4,5,5,16,27.0,6.0,1.2,240.0,240.0,115.10394265232976,67.0,100.0,57.91695652173913,64.16681003584229,130.0,150.0,1
11,Snow Valley,California,7841,1041,6800,0.0,0.0,0.0,0,0,5,6,1,12,28.0,6.0,1.2,240.0,188.0,111.0,82.0,160.0,69.0,79.0,143.0,164.0,1
12,Soda Springs,California,7352,652,6700,0.0,0.0,0.0,0,0,1,1,2,4,18.0,0.0,0.4,200.0,20.0,150.0,83.0,400.0,50.0,50.0,144.0,0.0,1
13,Tahoe Donner,California,7350,600,6750,0.0,0.0,0.0,0,1,1,0,3,5,14.0,2.0,1.0,120.0,174.87323943661968,150.0,48.0,400.0,69.0,69.0,144.0,0.0,1
14,Monarch Mountain,Colorado,11952,1162,10790,0.0,0.0,0.0,0,1,0,4,2,7,64.0,2.0,1.0,800.0,174.87323943661968,143.0,80.0,350.0,89.0,89.0,136.0,0.0,2
15,Powderhorn,Colorado,9850,1650,8200,0.0,0.0,0.0,1,0,0,2,2,5,42.0,2.0,1.5,1600.0,42.0,111.0,53.0,250.0,71.0,71.0,110.0,0.0,2
16,Cooper,Colorado,11700,1200,10500,0.0,0.0,0.0,0,0,1,1,2,4,41.0,1.0,1.0,400.0,174.87323943661968,130.0,74.0,260.0,56.0,56.0,130.0,0.0,2
17,Ski Granby Ranch,Colorado,9202,1000,8202,0.0,0.0,0.0,2,0,1,1,1,5,40.0,1.0,0.6,406.0,170.0,116.0,36.0,220.0,84.0,84.0,92.0,100.0,2
18,Sunlight Mountain Resort,Colorado,9895,2010,7885,0.0,0.0,0.0,0,0,1,2,0,3,67.0,1.0,2.5,680.0,30.0,100.0,53.0,250.0,65.0,65.0,135.0,0.0,2
19,Mohawk Mountain,Connecticut,1600,650,950,0.0,0.0,0.0,0,0,5,0,3,8,25.0,0.0,1.5,107.0,100.0,115.10394265232976,72.0,92.0,30.0,65.0,110.0,64.0,0
20,Mount Southington Ski Area,Connecticut,525,425,100,0.0,0.0,0.0,0,0,2,2,3,7,14.0,2.0,0.3,51.0,51.0,63.0,55.0,80.0,60.0,60.0,95.0,51.0,0
21,Powder Ridge Park,Connecticut,720,550,170,0.0,0.0,0.0,0,0,1,2,2,5,19.0,4.0,0.5,80.0,68.0,80.0,60.0,80.0,45.0,55.0,100.0,40.0,0
22,Ski Sundown,Connecticut,1075,625,450,0.0,0.0,0.0,0,0,3,0,2,5,16.0,2.0,1.0,70.0,70.0,84.0,50.0,45.0,62.0,62.0,95.0,66.0,0
23,Woodbury Ski Area,Connecticut,730,300,430,0.0,0.0,0.0,0,0,0,1,4,5,12.0,2.0,0.2,50.0,50.0,126.0,57.0,70.0,42.0,42.0,180.0,35.0,0
24,Kelly Canyon Ski Area,Idaho,6600,1000,5600,0.0,0.0,0.0,0,0,0,4,2,6,51.0,1.0,1.3,740.0,174.87323943661968,115.10394265232976,62.0,200.0,57.91695652173913,42.0,120.0530035335689,0.0,1
25,Lookout Pass Ski Area,Idaho,5650,1150,4500,0.0,0.0,0.0,0,0,1,3,0,4,35.0,2.0,1.5,540.0,174.87323943661968,113.0,84.0,400.0,44.0,47.0,140.0,0.0,1
26,Magic Mountain Ski Area,Idaho,7200,700,6500,0.0,0.0,0.0,0,0,0,1,2,3,11.0,0.0,1.5,280.0,174.87323943661968,65.0,81.0,180.0,32.0,32.0,70.0,0.0,1
27,Pebble Creek Ski Area,Idaho,8560,2200,6360,0.0,0.0,0.0,0,0,3,0,0,3,54.0,2.0,1.3,1100.0,30.0,85.0,70.0,250.0,47.0,47.0,91.0,30.0,1
28,Pomerelle Mountain Resort,Idaho,9000,1000,8000,0.0,0.0,0.0,0,0,1,1,1,3,24.0,2.0,1.5,500.0,50.0,138.0,56.0,500.0,57.91695652173913,64.16681003584229,138.0,100.0,2
29,Soldier Mountain Ski Area,Idaho,7200,1400,5800,0.0,0.0,0.0,0,0,0,2,1,3,36.0,0.0,0.4,1142.0,174.87323943661968,60.0,71.0,185.31645569620247,43.0,43.0,120.0530035335689,0.0,1
30,Chestnut Mountain Resort,Illinois,1040,475,565,0.0,0.0,0.0,0,2,4,0,3,9,22.0,3.0,0.2,139.0,139.0,87.0,60.0,50.0,40.0,55.0,112.0,139.0,0
31,Ski Snowstar Winter Sports Park,Illinois,790,262,528,0.0,0.0,0.0,0,2,0,2,2,6,15.0,1.0,0.8,28.0,28.0,56.0,38.0,38.0,25.0,35.0,86.0,28.0,0
32,Villa Olivia,Illinois,500,180,320,0.0,0.0,0.0,0,1,0,0,6,7,7.0,1.0,0.1,15.0,15.0,115.10394265232976,53.0,25.0,40.0,40.0,70.0,15.0,0
33,Paoli Peaks,Indiana,900,300,600,0.0,0.0,0.0,1,1,3,1,2,8,15.0,2.0,0.4,65.0,65.0,75.0,41.0,18.0,38.0,45.0,80.0,65.0,0
34,Perfect North Slopes,Indiana,800,400,400,0.0,0.0,0.0,0,2,3,0,6,11,23.0,2.0,1.0,100.0,100.0,82.0,39.0,24.0,52.0,52.0,90.0,100.0,0
35,Mt. Crescent Ski Area,Iowa,1500,300,1200,0.0,0.0,0.0,0,1,0,1,0,2,11.0,1.0,0.2,50.0,50.0,115.10394265232976,58.0,30.0,29.0,39.0,120.0530035335689,50.0,0
36,Seven Oaks,Iowa,975,275,800,0.0,0.0,0.0,0,0,2,0,2,4,11.0,2.0,1.0,35.0,35.0,100.0,22.0,40.0,40.0,40.0,100.0,35.0,0
37,Sundown Mountain,Iowa,1059,475,584,0.0,0.0,0.0,0,1,1,2,2,6,21.0,2.0,0.6,55.0,55.0,115.10394265232976,46.0,45.0,38.0,46.0,120.0530035335689,55.0,0
38,Camden Snow Bowl,Maine,1080,850,150,0.0,0.0,0.0,0,0,1,1,1,3,26.0,2.0,1.0,100.0,48.0,68.0,83.0,69.0,33.0,43.0,70.0,48.0,0
39,Lost Valley,Maine,495,240,255,0.0,0.0,0.0,0,0,0,2,2,4,22.0,2.0,0.3,45.0,45.0,87.0,58.0,50.0,29.0,55.0,104.0,45.0,0
40,Mt. Abram Ski Resort,Maine,2250,1150,1050,0.0,0.0,0.0,0,0,0,2,3,5,54.0,1.0,0.5,640.0,175.0,120.0,59.0,125.0,29.0,49.0,120.0,0.0,0
41,New Hermon Mountain,Maine,450,350,100,0.0,0.0,0.0,0,0,0,1,2,3,20.0,0.0,1.9,70.0,70.0,102.0,55.0,90.0,32.0,32.0,117.0,45.0,0
42,Shawnee Peak,Maine,1900,1350,600,0.0,0.0,0.0,0,1,2,1,2,6,43.0,3.0,0.8,239.0,234.0,97.0,81.0,110.0,55.0,75.0,103.0,110.0,0
43,Wisp,Maryland,3115,700,2415,0.0,0.0,0.0,0,2,5,0,5,12,34.0,3.0,1.5,172.0,118.0,121.0,64.0,100.0,59.0,79.0,120.0,118.0,0
44,Berkshire East,Massachusetts,1720,1180,540,0.0,0.0,0.0,0,2,1,1,2,6,47.0,2.0,2.0,180.0,165.0,120.0,68.0,120.0,48.0,68.0,120.0,80.0,0
45,Blandford Ski Area,Massachusetts,1685,465,1035,0.0,0.0,0.0,0,0,0,3,2,5,29.0,2.0,0.5,132.0,70.0,115.10394265232976,83.0,50.0,20.0,45.0,120.0530035335689,70.0,0
46,Otis Ridge Ski Area,Massachusetts,1700,400,1300,0.0,0.0,0.0,0,0,0,1,3,4,11.0,1.0,1.0,60.0,55.0,106.0,73.0,70.0,20.0,40.0,106.0,35.0,0
47,Ski Ward,Massachusetts,420,210,210,0.0,0.0,0.0,0,0,1,0,3,4,11.0,1.0,0.2,45.0,45.0,105.0,50.0,80.0,57.91695652173913,64.16681003584229,120.0,38.0,0
48,Alpine Valley Ski Area,Michigan,500,240,126,0.0,0.0,0.0,0,1,2,5,6,14,25.0,3.0,0.2,100.0,100.0,115.10394265232976,57.0,20.0,39.0,47.0,120.0530035335689,100.0,0
49,Apple Mountain,Michigan,820,220,600,0.0,0.0,0.0,0,1,0,0,5,6,12.0,0.0,1.433230769230769,80.0,42.0,115.10394265232976,58.0,52.0,35.0,35.0,120.0530035335689,80.0,0
50,Big Snow Resort - Blackjack,Michigan,850,465,385,0.0,0.0,0.0,0,0,0,4,2,6,26.0,2.0,1.0,170.0,86.0,95.0,42.0,210.0,49.0,65.0,115.0,0.0,0
51,Caberfae Peaks,Michigan,1569,485,1060,0.0,0.0,0.0,0,1,2,1,1,5,34.0,2.0,1.2,200.0,200.0,118.0,82.0,140.0,39.0,49.0,130.0,150.0,0
52,Big Snow Resort - Indianhead Mountain,Michigan,1935,638,1297,0.0,0.0,0.0,0,1,1,5,2,9,32.0,2.0,1.0,240.0,150.0,120.0,60.0,204.0,49.0,49.0,120.0,0.0,0
53,Marquette Mountain,Michigan,1357,600,757,0.0,0.0,0.0,0,0,1,2,1,4,35.0,3.0,0.7,169.0,143.0,139.0,60.0,210.0,57.91695652173913,64.16681003584229,135.0,89.0,0
54,Mont Ripley,Michigan,1140,440,700,0.0,0.0,0.0,0,0,0,2,2,4,25.0,2.0,0.8,112.0,112.0,114.0,83.0,275.0,49.0,49.0,100.0,100.0,0
55,Mt. Holiday Ski Area,Michigan,440,200,240,0.0,0.0,0.0,0,0,0,2,2,4,12.0,0.0,0.1,45.0,45.0,100.0,70.0,120.0,22.0,34.0,90.0,45.0,0
56,Mount Holly,Michigan,1105,350,755,0.0,0.0,0.0,1,2,3,1,6,13,19.0,0.0,0.1,100.0,100.0,115.10394265232976,63.0,42.0,37.0,45.0,102.0,100.0,0
57,Norway Mountain,Michigan,1335,500,835,0.0,0.0,0.0,0,0,1,2,3,6,17.0,1.0,1.4,186.0,186.0,110.0,45.0,100.0,57.91695652173913,45.0,110.0,40.0,0
58,Pine Mountain,Michigan,1650,500,1150,0.0,0.0,0.0,0,0,1,2,1,4,28.0,1.0,0.5,160.0,160.0,110.0,80.0,60.0,57.91695652173913,45.0,126.0,80.0,0
59,Snow Snake Mountain Ski Area,Michigan,1230,210,1020,0.0,0.0,0.0,0,0,1,0,5,6,12.0,2.0,0.0,40.0,40.0,115.10394265232976,72.0,185.31645569620247,30.0,35.0,120.0530035335689,40.0,0
60,Swiss Valley,Michigan,1200,225,975,0.0,0.0,0.0,0,2,1,0,4,7,11.0,2.0,0.1,60.0,60.0,89.0,51.0,60.0,32.0,42.0,80.0,60.0,0
61,Timber Ridge,Michigan,850,250,600,0.0,0.0,0.0,0,1,1,2,4,8,16.0,2.0,0.3,50.0,50.0,80.0,58.0,185.31645569620247,35.0,45.0,120.0530035335689,50.0,0
62,Treetops Resort,Michigan,1345,225,1120,0.0,0.0,0.0,0,0,3,0,2,5,23.0,3.0,0.2,80.0,80.0,63.0,65.0,175.0,57.91695652173913,64.16681003584229,101.0,80.0,0
63,Andes Tower Hills Ski Area,Minnesota,1620,290,1330,0.0,0.0,0.0,0,1,2,0,3,6,15.0,2.0,0.2,35.0,35.0,100.0,38.0,55.0,45.0,45.0,110.0,35.0,0
64,Buck Hill,Minnesota,1225,309,919,0.0,0.0,0.0,0,2,1,0,5,8,16.0,0.0,0.2,45.0,45.0,115.0,65.0,60.0,34.0,47.0,112.0,45.0,0
65,Buena Vista Ski Area,Minnesota,1510,230,1280,0.0,0.0,0.0,0,0,2,2,2,6,17.0,0.0,0.3,30.0,30.0,57.0,70.0,78.0,44.0,44.0,60.0,30.0,0
66,Coffee Mill Ski & Snowboard Resort,Minnesota,1150,425,725,0.0,0.0,0.0,0,0,0,2,1,3,14.0,1.0,1.0,40.0,35.0,57.0,39.0,48.0,23.0,37.0,56.0,35.0,0
67,Giants Ridge Resort,Minnesota,1972,500,1472,0.0,0.0,0.0,1,1,1,2,2,7,35.0,2.0,0.8,202.0,202.0,120.0,35.0,85.0,49.0,58.0,125.0,121.0,0
68,Hyland Ski & Snowboard Area,Minnesota,1075,175,900,0.0,0.0,0.0,0,2,1,0,5,8,14.0,1.0,1.0,35.0,35.0,110.0,61.0,55.0,35.34,35.34,115.0,35.0,0
69,Powder Ridge Ski Area,Minnesota,790,300,500,0.0,0.0,0.0,0,1,0,2,3,6,15.0,4.0,1.433230769230769,60.0,60.0,97.0,58.0,45.0,36.0,48.0,113.0,60.0,0
70,Spirit Mountain,Minnesota,1320,700,620,0.0,0.0,0.0,1,1,2,1,2,7,22.0,3.0,1.0,175.0,175.0,100.0,45.0,100.0,59.0,59.0,125.0,144.0,0
71,Hidden Valley Ski Area,Missouri,2566,310,2316,0.0,0.0,0.0,0,2,2,0,3,7,17.0,0.0,0.1,30.0,30.0,115.10394265232976,37.0,26.0,49.0,49.0,120.0530035335689,17.0,0
72,Snow Creek,Missouri,1100,300,800,0.0,0.0,0.0,0,0,2,1,2,5,14.0,2.0,0.3,30.0,30.0,69.0,33.0,20.0,37.0,47.0,85.0,30.0,0
73,Great Divide,Montana,7330,1580,5750,0.0,0.0,0.0,0,0,0,5,1,6,110.0,6.0,3.0,1600.0,150.0,94.0,78.0,180.0,48.0,48.0,100.0,100.0,1
74,Maverick Mountain,Montana,8520,2020,6500,0.0,0.0,0.0,0,0,0,1,1,2,22.0,0.0,1.3,255.0,174.87323943661968,115.10394265232976,83.0,160.0,39.0,39.0,120.0530035335689,0.0,1
75,Montana Snowbowl,Montana,7600,2600,5000,0.0,0.0,0.0,0,0,0,2,2,4,37.0,0.0,1.2,950.0,20.0,115.10394265232976,58.0,300.0,50.0,50.0,120.0530035335689,10.0,1
76,Showdown Montana,Montana,8200,1400,6800,0.0,0.0,0.0,0,0,1,2,1,4,36.0,1.0,1.8,640.0,174.87323943661968,86.0,83.0,250.0,47.0,47.0,85.0,0.0,1
77,Lee Canyon,Nevada,11289,860,8510,0.0,0.0,0.0,0,2,1,0,0,3,24.0,1.0,0.3,195.0,50.0,144.0,56.0,161.0,70.0,70.0,150.0,0.0,2
78,Attitash,New Hampshire,2350,1750,600,0.0,0.0,0.0,2,1,3,2,1,9,68.0,3.0,3.0,311.0,240.0,115.0,54.0,120.0,79.0,89.0,130.0,0.0,0
79,Black Mountain,New Hampshire,2350,1100,1250,0.0,0.0,0.0,0,0,1,1,3,5,45.0,0.0,1.6,143.0,120.0,110.0,84.0,125.0,45.0,59.0,107.0,0.0,0
80,Cranmore Mountain Resort,New Hampshire,2000,1200,600,0.0,0.0,0.0,1,1,2,1,2,7,57.0,4.0,1.0,200.0,192.0,107.0,82.0,150.0,57.91695652173913,64.16681003584229,128.0,0.0,0
81,Dartmouth Skiway,New Hampshire,1943,969,974,0.0,0.0,0.0,0,1,0,1,2,4,28.0,1.0,1.1,107.0,54.0,104.0,63.0,100.0,50.0,50.0,105.0,0.0,0
82,Gunstock,New Hampshire,2300,1400,900,0.0,0.0,0.0,1,2,2,0,1,6,55.0,4.0,1.5,227.0,176.0,106.0,82.0,120.0,80.0,92.0,120.0530035335689,60.0,0
83,King Pine,New Hampshire,850,350,500,0.0,0.0,0.0,0,0,3,0,3,6,17.0,2.0,0.3,48.0,45.0,105.0,57.0,120.0,42.0,58.0,107.0,23.0,0
84,Mount Sunapee,New Hampshire,2743,1510,1233,0.0,0.0,0.0,2,1,2,1,4,10,66.0,4.0,0.8,232.0,215.0,130.0,71.0,100.0,83.0,93.0,136.0,0.0,0
85,Pats Peak,New Hampshire,1460,770,690,0.0,0.0,0.0,0,0,4,2,5,11,28.0,3.0,1.5,115.0,115.0,109.0,56.0,100.0,58.0,72.0,112.0,93.0,0
86,Waterville Valley,New Hampshire,4004,2020,1984,0.0,0.0,0.0,2,0,2,3,4,11,62.0,4.0,1.9,265.0,220.0,142.0,54.0,148.0,79.0,93.0,142.0,0.0,0
87,Whaleback Mountain,New Hampshire,1800,700,1100,0.0,0.0,0.0,0,0,0,1,3,4,30.0,1.0,1.0,85.0,60.0,105.0,64.0,110.0,30.0,45.0,105.0,55.0,0
88,Wildcat Mountain,New Hampshire,4062,2112,1950,0.0,0.0,0.0,1,0,3,0,1,5,48.0,0.0,2.8,225.0,200.0,156.0,61.0,200.0,79.0,89.0,150.0,0.0,0
89,Campgaw Mountain,New Jersey,726,274,450,0.0,0.0,0.0,0,0,0,2,3,5,12.0,1.0,0.3,23.0,23.0,80.0,58.0,45.0,57.91695652173913,64.16681003584229,120.0530035335689,14.0,0
90,Angel Fire Resort,New Mexico,10677,2077,8600,0.0,0.0,0.0,2,0,0,3,2,7,81.0,3.0,3.0,560.0,230.0,101.0,53.0,210.0,77.0,77.0,101.0,50.0,2
91,Enchanted Forest Ski Area,New Mexico,10078,400,9820,0.0,0.0,0.0,0,0,0,0,0,0,33.0,0.0,2.5,600.0,174.87323943661968,130.0,34.0,240.0,20.0,20.0,140.0,0.0,2
92,Pajarito Mountain Ski Area,New Mexico,10441,1410,9031,0.0,0.0,0.0,0,1,1,3,1,6,45.0,2.0,0.6,750.0,35.0,89.0,62.0,163.0,49.0,49.0,117.0,0.0,2
93,Red River,New Mexico,10350,1600,8750,0.0,0.0,0.0,0,1,3,1,2,7,63.0,3.0,2.5,209.0,174.87323943661968,110.0,60.0,214.0,79.0,79.0,120.0530035335689,0.0,2
94,Sipapu Ski Resort,New Mexico,9255,1055,8200,0.0,0.0,0.0,0,1,2,0,3,6,42.0,4.0,0.5,200.0,140.0,127.0,67.0,190.0,47.0,47.0,143.0,0.0,2
95,Ski Santa Fe,New Mexico,12075,1725,10350,0.0,0.0,0.0,0,1,2,2,2,7,83.0,1.0,3.0,660.0,275.0,107.0,73.0,225.0,80.0,80.0,130.0,0.0,2
96,Bristol Mountain,New York,2200,1200,1000,0.0,0.0,0.0,2,1,1,1,1,6,34.0,3.0,2.0,160.0,148.0,129.0,55.0,60.0,65.0,76.0,129.0,154.0,0
97,Catamount,New York,2000,1000,1000,0.0,0.0,0.0,0,1,1,2,3,7,36.0,5.0,2.0,133.0,130.0,100.0,80.0,108.0,38.0,69.0,90.0,55.0,0
98,Dry Hill Ski Area,New York,950,300,650,0.0,0.0,0.0,0,0,0,1,2,3,7.0,1.0,0.2,35.0,26.0,115.10394265232976,55.0,125.0,57.91695652173913,35.0,120.0530035335689,26.0,0
99,Greek Peak,New York,2100,952,1148,0.0,0.0,0.0,0,1,1,4,2,8,56.0,4.0,1.5,220.0,184.0,110.0,62.0,122.0,49.0,63.2,113.0,175.0,0
100,Holiday Mountain,New York,1550,400,1150,0.0,0.0,0.0,0,1,0,1,2,4,9.0,0.0,0.4,37.0,37.0,75.0,60.0,50.0,27.0,42.0,85.0,37.0,0
101,Holimont Ski Area,New York,2260,700,1560,0.0,0.0,0.0,1,1,2,3,1,8,53.0,3.0,1.5,135.0,135.0,110.0,57.0,180.0,62.0,75.0,119.0,0.0,0
102,Labrador Mt.,New York,1825,700,1125,0.0,0.0,0.0,0,0,1,2,1,4,23.0,1.0,1.0,250.0,237.0,115.10394265232976,62.0,125.0,59.0,59.0,100.0,180.0,0
103,Maple Ski Ridge,New York,1200,450,750,0.0,0.0,0.0,0,0,1,1,1,3,10.0,0.0,0.3,25.0,25.0,115.10394265232976,57.0,185.31645569620247,26.0,38.0,120.0530035335689,20.0,0
104,McCauley Mountain Ski Center,New York,2250,633,1563,0.0,0.0,0.0,0,0,0,1,4,5,23.0,1.0,0.3,70.0,55.0,105.0,61.0,200.0,20.0,30.0,105.0,0.0,0
105,Mount Peter Ski Area,New York,1250,450,750,0.0,0.0,0.0,0,1,0,2,2,5,14.0,1.0,1.0,69.0,69.0,100.0,83.0,50.0,35.0,54.0,100.0,69.0,0
106,Oak Mountain,New York,2400,650,1750,0.0,0.0,0.0,0,1,0,0,3,4,22.0,1.0,1.2,46.0,18.0,115.10394265232976,71.0,120.0,40.0,40.0,120.0530035335689,12.0,0
107,Plattekill Mountain,New York,3500,1100,2400,0.0,0.0,0.0,0,0,1,1,2,4,38.0,1.0,2.0,110.0,75.0,65.0,26.0,175.0,50.0,67.0,65.0,0.0,0
108,Royal Mountain Ski Area,New York,1800,550,1250,0.0,0.0,0.0,0,0,0,3,0,3,14.0,0.0,0.3,35.0,28.0,115.10394265232976,63.0,90.0,45.0,45.0,120.0530035335689,0.0,0
109,Snow Ridge,New York,2000,650,1350,0.0,0.0,0.0,0,0,0,4,2,6,21.0,2.0,0.8,130.0,65.0,73.0,74.0,230.0,38.0,48.0,100.0,40.0,0
110,Song Mountain,New York,1940,700,1240,0.0,0.0,0.0,0,0,1,1,3,5,24.0,0.0,0.4,93.0,70.0,90.0,55.0,125.0,59.0,59.0,122.0,70.0,0
111,Thunder Ridge,New York,1270,500,770,0.0,0.0,0.0,0,0,1,2,3,6,30.0,0.0,0.4,100.0,100.0,121.0,60.0,185.31645569620247,57.91695652173913,57.0,121.0,100.0,0
112,Titus Mountain,New York,2025,1200,825,0.0,0.0,0.0,0,0,2,6,2,10,50.0,3.0,2.0,200.0,150.0,101.0,59.0,150.0,39.0,49.0,100.0,70.0,0
113,Toggenburg Mountain,New York,2000,700,1300,0.0,0.0,0.0,0,0,1,1,3,5,22.0,2.0,0.4,85.0,174.87323943661968,115.10394265232976,66.0,130.0,55.0,55.0,122.0,73.0,0
114,West Mountain,New York,1470,1010,460,0.0,0.0,0.0,0,0,1,2,2,5,29.0,1.0,0.6,124.0,105.0,115.10394265232976,58.0,80.0,49.0,59.0,120.0,105.0,0
115,Woods Valley Ski Area,New York,1400,500,900,0.0,0.0,0.0,0,0,0,2,4,6,21.0,0.0,0.3,25.0,16.0,115.10394265232976,55.0,180.0,31.0,39.0,120.0530035335689,15.0,0
116,Appalachian Ski Mountain,North Carolina,4000,365,3635,0.0,0.0,0.0,0,2,0,1,2,5,12.0,3.0,0.5,27.0,27.0,100.0,57.0,50.0,40.0,64.0,100.0,27.0,0
117,Cataloochee Ski Area,North Carolina,5400,740,4660,0.0,0.0,0.0,0,1,1,1,2,5,18.0,2.0,1.0,50.0,50.0,141.0,58.0,50.0,43.0,70.0,108.0,50.0,1
118,Wolf Ridge Ski Resort,North Carolina,4700,720,4000,0.0,0.0,0.0,0,1,0,1,2,4,15.0,1.0,0.6,65.0,65.0,115.10394265232976,49.0,65.0,42.0,65.0,100.0,60.0,1
119,Alpine Valley,Ohio,1500,230,1260,0.0,0.0,0.0,0,1,2,1,1,5,11.0,1.0,0.2,72.0,72.0,105.0,53.0,120.0,43.0,43.0,120.0530035335689,72.0,0
120,Boston Mills,Ohio,871,264,631,0.0,0.0,0.0,0,0,4,2,2,8,7.0,2.0,0.3,40.0,40.0,92.0,56.0,51.0,44.0,44.0,110.0,40.0,0
121,Mad River Mountain,Ohio,1460,300,1160,0.0,0.0,0.0,0,1,2,3,6,12,20.0,4.0,0.5,144.0,144.0,99.0,57.0,36.0,39.0,44.0,90.0,144.0,0
122,Snow Trails,Ohio,1475,301,1174,0.0,0.0,0.0,0,0,4,2,3,9,17.0,3.0,0.2,80.0,80.0,101.0,58.0,50.0,41.0,52.0,70.0,80.0,0
123,Anthony Lakes Mountain Resort,Oregon,8000,900,7100,0.0,0.0,0.0,0,0,1,0,2,3,21.0,2.0,1.5,1100.0,174.87323943661968,75.0,56.0,300.0,40.0,40.0,80.0,0.0,1
124,Cooper Spur,Oregon,4000,350,3500,0.0,0.0,0.0,0,0,0,1,1,2,10.0,0.0,0.1,50.0,174.87323943661968,78.0,66.0,100.0,39.0,39.0,90.0,0.0,0
125,Mt. Ashland,Oregon,7533,1150,6383,0.0,0.0,0.0,0,0,2,2,1,5,23.0,2.0,1.0,220.0,174.87323943661968,94.0,55.0,300.0,45.0,52.0,92.0,40.0,1
126,Ski Big Bear,Pennsylvania,1250,650,600,0.0,0.0,0.0,0,0,0,4,2,6,18.0,1.0,1.5,26.0,26.0,75.0,43.0,69.0,50.0,62.0,75.0,26.0,0
127,Blue Knob,Pennsylvania,3146,1072,2074,0.0,0.0,0.0,0,0,2,2,2,6,34.0,1.0,2.0,100.0,84.0,87.0,56.0,120.0,43.0,68.0,105.0,42.0,0
128,Camelback Mountain Resort,Pennsylvania,2100,800,1250,0.0,0.0,0.0,2,0,3,5,6,16,37.0,5.0,1.0,166.0,166.0,100.0,56.0,50.0,55.0,70.0,100.0,160.0,0
129,Elk Mountain Ski Resort,Pennsylvania,2693,1000,1693,0.0,0.0,0.0,0,1,0,5,1,7,27.0,2.0,0.7,180.0,146.0,115.10394265232976,60.0,60.0,55.0,69.0,100.0,90.0,0
130,Jack Frost,Pennsylvania,2000,600,1400,0.0,0.0,0.0,0,1,2,5,1,9,20.0,1.0,1.0,100.0,100.0,96.0,47.0,50.0,50.0,65.0,105.0,0.0,0
131,Mount Pleasant of Edinboro,Pennsylvania,1540,340,1200,0.0,0.0,0.0,0,0,1,0,1,2,10.0,0.0,0.5,40.0,35.0,75.0,48.0,100.0,30.0,33.0,90.0,35.0,0
132,Shawnee Mountain Ski Area,Pennsylvania,1350,700,650,0.0,0.0,0.0,1,1,0,4,4,10,23.0,2.0,1.6,125.0,125.0,100.0,44.0,50.0,55.0,65.0,122.0,120.0,0
133,Ski Sawmill,Pennsylvania,2215,515,1700,0.0,0.0,0.0,0,0,1,1,3,5,14.0,1.0,0.1,15.0,13.0,115.10394265232976,50.0,24.0,30.0,44.0,90.0,15.0,0
