iter	Passed	Remaining
670	790	387
671	791	386
672	792	385
673	793	383
674	794	382
675	795	381
676	796	380
677	797	378
678	798	377
679	799	376
680	800	374
681	801	373
682	802	372
683	803	371
684	804	370
685	805	368
686	806	367
687	807	366
688	809	365
689	810	363
690	810	362
691	811	361
692	812	360
693	813	358
694	814	357
695	815	356
696	817	355
697	818	354
698	819	352
699	821	351
700	822	350
701	823	349
702	823	348
703	824	346
704	825	345
705	826	344
706	828	343
707	829	342
708	830	340
709	831	339
710	834	339
711	835	338
712	837	337
713	838	335
714	839	334
715	841	333
716	842	332
717	844	331
718	845	330
719	846	329
720	847	327
721	848	326
722	849	325
723	850	324
724	851	322
725	852	321
726	854	320
727	855	319
728	857	318
729	858	317
730	859	316
731	860	315
732	861	313
733	862	312
734	863	311
735	864	310
736	865	308
737	866	307
738	867	306
739	868	305
740	869	303
741	870	302
742	871	301
743	872	300
744	873	299
745	874	297
746	875	296
747	876	295
748	877	294
749	878	292
750	879	291
751	880	290
752	881	289
753	882	287
754	883	286
755	884	285
756	885	284
757	886	282
758	887	281
759	888	280
760	889	279
761	890	278
762	891	276
763	892	275
764	893	274
765	894	273
766	895	272
767	896	270
768	897	269
769	898	268
770	899	267
771	900	265
772	901	264
773	902	263
774	903	262
775	904	261
776	905	259
777	906	258
778	907	257
779	908	256
780	909	255
781	910	253
782	911	252
783	912	251
784	913	250
785	914	249
786	915	247
787	916	246
788	917	245
789	918	244
790	919	242
791	920	241
792	921	240
793	922	239
794	923	238
795	924	236
796	925	235
797	926	234
798	928	233
799	929	232
800	930	231
801	931	229
802	932	228
803	933	227
804	934	226
805	935	225
806	936	224
807	938	222
808	939	221
809	940	220
810	941	219
811	942	218
812	943	217
813	944	215
814	946	214
815	947	213
816	948	212
817	949	211
818	950	210
819	952	209
820	953	207
821	954	206
822	955	205
823	956	204
824	957	203
825	958	201
826	959	200
827	960	199
828	962	198
829	963	197
830	964	196
831	965	194
832	966	193
833	967	192
834	968	191
835	969	190
836	970	189
837	971	187
838	972	186
839	973	185
840	974	184
841	975	183
842	976	181
843	977	180
844	978	179
845	979	178
846	980	177
847	981	175
848	983	174
849	984	173
850	985	172
851	986	171
852	987	170
853	988	168
854	989	167
855	990	166
856	991	165
857	991	164
858	992	162
859	993	161
860	994	160
861	995	159
862	997	158
863	998	157
864	999	155
865	1000	154
866	1001	153
867	1002	152
868	1003	151
869	1004	150
870	1005	148
871	1006	147
872	1007	146
873	1008	145
874	1009	144
875	1010	143
876	1011	141
877	1012	140
878	1013	139
879	1014	138
880	1015	137
881	1016	135
882	1017	134
883	1019	133
884	1020	132
885	1021	131
886	1022	130
887	1023	129
888	1024	127
889	1025	126
890	1026	125
891	1027	124
892	1028	123
893	1029	122
894	1030	120
895	1031	119
896	1031	118
897	1033	117
898	1034	116
899	1035	115
900	1036	113
901	1037	112
902	1038	111
903	1039	110
904	1040	109
905	1041	108
906	1042	106
907	1043	105
908	1044	104
909	1045	103
910	1046	102
911	1047	101
912	1048	99
913	1049	98
914	1050	97
915	1051	96
916	1052	95
917	1053	94
918	1054	92
919	1055	91
920	1056	90
921	1057	89
922	1058	88
923	1059	87
924	1060	85
925	1061	84
926	1062	83
927	1063	82
928	1064	81
929	1065	80
930	1066	79
931	1067	77
932	1068	76
933	1069	75
934	1070	74
935	1071	73
936	1072	72
937	1073	70
938	1074	69
939	1075	68
940	1076	67
941	1077	66
942	1078	65
943	1079	64
944	1080	62
945	1081	61
946	1082	60
947	1083	59
948	1084	58
949	1085	57
950	1086	55
951	1087	54
952	1088	53
953	1089	52
954	1090	51
955	1091	50
956	1092	49
957	1093	47
958	1094	46
959	1095	45
960	1096	44
961	1097	43
962	1098	42
